Category,Diagnosis,Symptoms
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Nausea, Swollen joints"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Urological,Kidney Stone,"Body aches, Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Loss of appetite, Shortness of breath, Wheezing"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Nausea, Shortness of breath"
Urological,Kidney Stone,"Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Dizziness, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Urological,Kidney Stone,"Headache, Loss of appetite, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Dizziness, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Malaise, Nausea, Slow-healing sores, Unexplained weight loss"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,Strep Throat,"Chills, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fever, Shortness of breath, Wheezing"
Neurological,Migraine,"Chills, Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Chills, Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Headache, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Dizziness, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Body aches, Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, High fever, Runny nose, Sore throat"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,Strep Throat,"Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fever, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Headache, Nausea, Stomach cramps, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Fatigue, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat, Weakness"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Nausea"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Nausea, Stomach cramps, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss, Weakness"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Loss of appetite, Nausea, Slow-healing sores, Unexplained weight loss"
Neurological,Migraine,"Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Loss of appetite, Nausea, Shortness of breath, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Headache, High fever, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Loss of appetite, Malaise, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fatigue, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Fatigue, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fever, High fever, Malaise, Runny nose, Sore throat"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Malaise, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Headache"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fever, Loss of appetite, Shortness of breath, Wheezing"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Headache, Nausea, Stomach cramps, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Fever, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Asthma,"Body aches, Chest tightness, Chills, Coughing (especially at night), Dizziness, Shortness of breath, Wheezing"
Chronic,Hypertension,"Body aches, Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Loss of appetite, Nausea, Stomach cramps, Vomiting, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Urological,Kidney Stone,"Dizziness, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Neurological,Migraine,"Chills, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,COVID-19,"Chills, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Loss of appetite, Nausea, Shortness of breath, Wheezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Neurological,Migraine,"Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Headache, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fatigue, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Malaise, Shortness of breath"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
